Date,Open,High,Low,Close,Volume
2021-10-21,315.58539265330137,319.2431262316824,313.0437606813006,319.02740478515625,307100
2021-10-22,319.8620396218818,327.04616066738885,318.530274056341,324.14813232421875,746500
2021-10-25,324.90776742569113,328.2372381643277,321.0249829394351,327.5244445800781,459000
2021-10-26,327.58075914293477,333.2924106274633,327.4025607227206,332.12945556640625,379700
2021-10-27,333.8364000281432,335.1025075552674,325.3204845526174,327.64642333984375,656300
2021-10-28,326.1082686054623,331.4354164434461,325.84566494329533,331.08837890625,393400
2021-10-29,329.2970726506659,332.70156136214723,321.52211434519575,323.87615966796875,705900
2021-11-01,323.8761893462252,328.83755347838326,321.8316298000273,325.8175964355469,631700
2021-11-02,325.4517773925944,338.76021630154713,322.7788298525641,336.077880859375,722800
2021-11-03,338.33823810924184,339.3417707297274,326.2865446241234,330.1318359375,449500
2021-11-04,330.3756437826532,332.9266632837805,323.61354878217827,324.9453430175781,517300
2021-11-05,326.6992323128774,328.87510823798164,322.1974457148407,322.8258056640625,432700
2021-11-08,323.81053179274977,326.9148938369047,317.4611036439482,326.37091064453125,426500
2021-11-09,327.3463545998412,328.49995060563003,321.41898054642786,327.7496337890625,399600
2021-11-10,325.9019594743949,329.06259155870265,321.0156419637536,321.24072265625,403100
2021-11-11,321.78466484102637,322.31926003927106,314.85376031023407,321.6252136230469,343000
2021-11-12,324.16693518250503,325.52683594752165,320.93125691581736,322.4130859375,472500
2021-11-15,321.98166201025185,326.88675548753224,320.71552583004996,326.4459533691406,434400
2021-11-16,328.2560238349503,330.7226379649461,325.0766160371265,325.7987976074219,452400
2021-11-17,326.3061159171963,330.5148307200634,323.70386922601676,329.0774841308594,430600
2021-11-18,330.30812360084894,330.30812360084894,322.54831620822614,324.333251953125,402100
2021-11-19,326.7381593280232,329.0492090102062,323.4970992173532,324.09832763671875,417000
2021-11-22,321.6558711000839,327.339489226887,320.19971739066,322.999267578125,660500
2021-11-23,322.99925696774704,328.3822463064119,322.5764962051354,327.818603515625,488900
2021-11-24,328.57956949760666,334.00014490126324,325.88337286638625,332.99493408203125,428300
2021-11-26,329.45319619098456,338.0209098973529,329.0962033416327,329.7913818359375,247200
2021-11-29,330.2611409099736,337.36332695939586,328.166201585868,334.0377197265625,540400
2021-11-30,331.3979293808091,335.3060157899109,320.1339880597104,322.9804992675781,1397000
2021-12-01,324.75604510883517,332.064910325278,318.53693718637794,318.75299072265625,581100
2021-12-02,319.00657254840945,328.062785496187,318.81867253587404,326.9636535644531,694800
2021-12-03,327.3864102760297,332.69428500048826,324.3332211939516,327.5743103027344,740200
2021-12-06,328.006455234214,335.19318708130993,325.7893839379155,327.076416015625,867300
2021-12-07,330.44908589655165,338.5564838348833,328.6453426638468,338.2652587890625,487200
2021-12-08,338.5000242498359,339.5146098223003,332.76941764461844,337.25054931640625,318100
2021-12-09,336.8842071554526,336.8842071554526,329.24653230185646,331.6233215332031,394200
2021-12-10,332.7225456407961,337.5136820874882,329.2465950132689,337.19427490234375,429100
2021-12-13,336.64936772571525,345.5646716400752,333.1546390036322,342.9154357910156,569100
2021-12-14,342.9154306533586,343.1127343007416,333.66194119623657,341.48748779296875,725000
2021-12-15,338.7068146610386,348.45823837740375,338.7068146610386,347.7630310058594,665600
2021-12-16,348.45817727014406,350.9946559289126,346.68261640643584,348.0635986328125,594200
2021-12-17,352.26293182556896,358.0405003607377,349.2379243135169,353.1178283691406,1383600
2021-12-20,351.154358688441,354.3484587151171,347.3308193237671,351.6898193359375,644300
2021-12-21,354.226369322355,354.25455146509955,346.94568619493936,350.16796875,620500
2021-12-22,351.60531608709846,355.7107060187618,350.3182837832636,354.7242736816406,421600
2021-12-23,354.4799436499092,356.4997686313962,349.04996534313796,351.6146545410156,399900
2021-12-27,352.45079515693556,360.4266559717191,351.25768436014175,360.1448059082031,464500
2021-12-28,361.0279939717778,363.11355892828027,360.0603686663009,361.4319763183594,330900
2021-12-29,363.7804784342622,363.7804784342622,360.2763461545474,361.6385498046875,365400
2021-12-30,362.8128965523515,365.6218219363706,361.3567427067187,365.02996826171875,260700
2021-12-31,365.0580521163684,367.463023245245,363.5831201289547,365.4620056152344,313800
2022-01-03,364.5789676530614,365.4620462232969,349.3881928635074,356.86614990234375,492100
2022-01-04,356.86621412990024,358.1438715406338,346.22233736637827,347.08660888671875,628200
2022-01-05,346.10026430530917,346.10966791132967,328.2790260894788,329.5284729003906,1224600
2022-01-06,327.26432392627646,330.721495682649,322.7456057459676,328.0252990722656,813400
2022-01-07,327.0106760935123,330.58057632038765,321.3834222886224,326.8415832519531,851700
2022-01-10,319.07238445562126,323.80715579419007,316.53587728390744,321.8343200683594,808100
2022-01-11,321.4397387075659,321.5712457860235,316.4324927339595,320.9981994628906,1044400
2022-01-12,320.3687852430291,323.46896379997366,316.939824629479,318.01080322265625,966400
2022-01-13,318.68719658345924,320.1809072195761,313.05991462404074,313.9429931640625,725500
2022-01-14,310.6267574777611,311.6977360359284,301.1196008862903,306.5119934082031,1058000
2022-01-18,303.7407342612077,307.9024600982489,301.3545408831695,306.2960205078125,725500
2022-01-19,309.58405168670714,312.9848307314532,301.54242196678643,301.77728271484375,786000
2022-01-20,301.85240582569406,309.067320654124,297.2209590571688,297.6155090332031,1037100
2022-01-21,297.9443472829764,305.75111646527847,293.38804291394007,293.4256286621094,1204800
2022-01-24,291.8285790100062,307.9775773463282,288.39958922157473,306.7657165527344,1542100
2022-01-25,304.12587399593383,309.04854583875766,300.4620235857773,305.8262634277344,1024000
2022-01-26,305.06529243078415,312.74992819986295,293.56649224686566,296.63848876953125,1096100
2022-01-27,297.43702464305477,298.263739042869,285.92884827321734,287.6386413574219,761500
2022-01-28,288.6250916061559,298.789843372975,286.163726792162,298.5174255371094,741400
2022-01-31,298.64886249756387,305.76045142452784,297.70941969092195,305.7322692871094,655400
2022-02-01,304.58624206496864,306.99121409979625,300.67815534099174,302.8482666015625,548700
2022-02-02,305.02766566686614,306.30529403241184,303.5903194208686,303.9754943847656,546500
2022-02-03,303.2146182770043,304.6519648558623,301.9463645498887,302.21881103515625,433800
2022-02-04,305.32831254299583,309.06727652553235,298.75221296580975,302.07781982421875,758400
2022-02-07,302.14361403501493,306.00473917429906,301.67389259570433,302.0872497558594,637300
2022-02-08,301.4297382009655,302.754356583237,298.235636982706,299.0529479980469,468300
